time_unix,time_lsl,offset_unix_minus_lsl,read_uncertainty_s
1788108736.438999653,326063.573522083,1787782672.865477562,0.000003099
1788108737.444234371,326064.578604250,1787782672.865630150,0.000007391
1788108738.445011616,326065.579241166,1787782672.865770340,0.000016928
1788108739.450306892,326066.584400916,1787782672.865906000,0.000014067
1788108740.452373028,326067.586336791,1787782672.866036177,0.000006199
1788108741.457651138,326068.591497875,1787782672.866153240,0.000014067
1788108742.462178230,326069.595915458,1787782672.866262674,0.000017881
1788108743.465968609,326070.599596500,1787782672.866372108,0.000002623
1788108744.471170902,326071.604704708,1787782672.866466284,0.000016212
1788108745.471860409,326072.605301833,1787782672.866558552,0.000012875
1788108746.475126028,326073.608484000,1787782672.866641998,0.000020027
1788108747.476710081,326074.609985458,1787782672.866724730,0.000018120
1788108748.479297161,326075.612493291,1787782672.866803885,0.000008345
1788108749.484472275,326076.617600791,1787782672.866871595,0.000017881
1788108750.489361048,326077.622422541,1787782672.866938591,0.000016212
1788108751.494481087,326078.627480791,1787782672.867000341,0.000018120
1788108752.499673367,326079.632613750,1787782672.867059708,0.000017166
1788108753.504838467,326080.637719875,1787782672.867118597,0.000006914
1788108754.506773949,326081.639606000,1787782672.867167950,0.000013828
1788108755.511286736,326082.644067958,1787782672.867218733,0.000007868
1788108756.512271881,326083.645049333,1787782672.867222548,0.000097990
1788108757.517457485,326084.650152208,1787782672.867305279,0.000013113
1788108758.522538662,326085.655191125,1787782672.867347479,0.000009298
1788108759.527682543,326086.660300250,1787782672.867382288,0.000019073
1788108760.529279470,326087.661858875,1787782672.867420673,0.000009060
1788108761.534389496,326088.666934666,1787782672.867454767,0.000005245
1788108762.539503098,326089.672016291,1787782672.867486715,0.000004053
1788108763.542190075,326090.674678958,1787782672.867511034,0.000018120
1788108764.545679569,326091.678140708,1787782672.867538929,0.000017166
1788108765.546590328,326092.679025791,1787782672.867564440,0.000016928
1788108766.548318386,326093.680727666,1787782672.867590666,0.000013113
1788108767.550277472,326094.682664250,1787782672.867613316,0.000015259
1788108768.551976442,326095.684348375,1787782672.867628098,0.000027180
1788108769.556873083,326096.689217250,1787782672.867655754,0.000011921
1788108770.559727669,326097.692053958,1787782672.867673635,0.000015020
1788108771.562534094,326098.694841041,1787782672.867692947,0.000010014
1788108772.563956976,326099.696248791,1787782672.867708206,0.000013828
1788108773.569090605,326100.701368916,1787782672.867721796,0.000020981
1788108774.572506428,326101.704768833,1787782672.867737532,0.000017166
1788108775.574156284,326102.706401125,1787782672.867755175,0.000008821
1788108776.579303026,326103.711537375,1787782672.867765665,0.000016212
1788108777.580218315,326104.712439333,1787782672.867779016,0.000013113
1788108778.585336685,326105.717546583,1787782672.867789984,0.000016928
1788108779.590433359,326106.722630583,1787782672.867802858,0.000010967
1788108780.590867519,326107.723057750,1787782672.867809772,0.000018835
1788108781.594124556,326108.726305250,1787782672.867819309,0.000020981
1788108782.595991135,326109.728160833,1787782672.867830276,0.000017881
1788108783.598279476,326110.730441375,1787782672.867838144,0.000016928
1788108784.603353977,326111.735507208,1787782672.867846727,0.000018120
1788108785.606812000,326112.738956583,1787782672.867855310,0.000016212
1788108786.610589981,326113.742723750,1787782672.867866278,0.000006199
1788108787.615708590,326114.747839541,1787782672.867869139,0.000017166
1788108788.619325638,326115.751449750,1787782672.867875814,0.000016928
1788108789.623193026,326116.755312000,1787782672.867881060,0.000020027
1788108790.627762079,326117.759873666,1787782672.867888451,0.000016212
1788108791.627901554,326118.760003500,1787782672.867897987,0.000005007
1788108792.633007050,326119.765107750,1787782672.867899418,0.000014067
1788108793.638089895,326120.770181791,1787782672.867908001,0.000006199
1788108794.640690327,326121.772778250,1787782672.867912054,0.000006914
1788108795.645774364,326122.777857500,1787782672.867916822,0.000006914
1788108796.650878906,326123.782957250,1787782672.867921591,0.000006199
1788108797.655962467,326124.788036458,1787782672.867926121,0.000004768
1788108798.657144547,326125.789219000,1787782672.867925644,0.000016928
1788108799.661575079,326126.793644250,1787782672.867930889,0.000011921
1788108800.666696548,326127.798761500,1787782672.867934942,0.000010967
1788108801.671789646,326128.803848875,1787782672.867940664,0.000005007
1788108802.673151493,326129.805209083,1787782672.867942333,0.000009060
1788108803.673389912,326130.805442875,1787782672.867947102,0.000005960
