t_rel_s,code,label,time_unix,time_lsl,time_perf,offset_unix_minus_lsl,time_webapp,webapp_minus_local_ms,inserted_to_board,raw
8.215508,610.000000,610,1788108744.654685,326071.788201,100906.673685,1787782672.866484,1788108744.654000,-0.685453,True,"{""marker"":610,""timestamp"":1788108744.654}"
12.379137,600.000000,600,1788108748.818314,326075.951490,100910.836975,1787782672.866824,1788108748.817000,-1.314163,True,"{""marker"":600,""timestamp"":1788108748.817}"
51.572506,100.000000,100,1788108788.011683,326115.143809,100950.029291,1787782672.867874,1788108788.011000,-0.683069,True,"{""marker"":100,""timestamp"":1788108788.011}"
52.580288,110.000000,110,1788108789.019465,326116.151587,100951.037071,1787782672.867878,1788108789.018000,-1.465082,True,"{""marker"":110,""timestamp"":1788108789.018}"
63.417034,111.000000,111,1788108799.856211,326126.988280,100961.873765,1787782672.867930,1788108799.854000,-2.210855,True,"{""marker"":111,""timestamp"":1788108799.854}"
63.417768,120.000000,120,1788108799.856946,326126.989011,100961.874493,1787782672.867935,1788108799.855000,-1.945496,True,"{""marker"":120,""timestamp"":1788108799.855}"
65.428550,121.000000,121,1788108801.867727,326128.999785,100963.885267,1787782672.867941,1788108801.866000,-1.726866,True,"{""marker"":121,""timestamp"":1788108801.866}"
65.429160,200.000000,200,1788108801.868337,326129.000395,100963.885875,1787782672.867942,1788108801.867000,-1.337051,True,"{""marker"":200,""timestamp"":1788108801.867}"
67.771736,210.000000,210,1788108804.210913,326131.342965,100966.228446,1787782672.867948,1788108804.210000,-0.912905,True,"{""marker"":210,""timestamp"":1788108804.21}"
69.143174,220.000000,220,1788108805.582351,326132.714403,100967.599887,1787782672.867948,1788108805.581000,-1.351357,True,"{""marker"":220,""timestamp"":1788108805.581}"
69.143645,210.000000,210,1788108805.582822,326132.714869,100967.600350,1787782672.867953,1788108805.581000,-1.821995,True,"{""marker"":210,""timestamp"":1788108805.581}"
69.501885,220.000000,220,1788108805.941062,326133.073109,100967.958592,1787782672.867953,1788108805.940000,-1.061916,True,"{""marker"":220,""timestamp"":1788108805.94}"
69.502280,210.000000,210,1788108805.941457,326133.073502,100967.958982,1787782672.867954,1788108805.940000,-1.456499,True,"{""marker"":210,""timestamp"":1788108805.94}"
69.910073,220.000000,220,1788108806.349250,326133.481298,100968.366781,1787782672.867952,1788108806.348000,-1.250267,True,"{""marker"":220,""timestamp"":1788108806.348}"
69.910470,210.000000,210,1788108806.349648,326133.481692,100968.367171,1787782672.867955,1788108806.348000,-1.647472,True,"{""marker"":210,""timestamp"":1788108806.348}"
70.483214,220.000000,220,1788108806.922391,326134.054436,100968.939917,1787782672.867955,1788108806.921000,-1.391411,True,"{""marker"":220,""timestamp"":1788108806.921}"
70.483743,210.000000,210,1788108806.922920,326134.054963,100968.940444,1787782672.867957,1788108806.921000,-1.919746,True,"{""marker"":210,""timestamp"":1788108806.921}"
70.648761,220.000000,220,1788108807.087938,326134.219982,100969.105463,1787782672.867956,1788108807.087000,-0.938177,True,"{""marker"":220,""timestamp"":1788108807.087}"
70.649137,210.000000,210,1788108807.088315,326134.220357,100969.105836,1787782672.867958,1788108807.087000,-1.314640,True,"{""marker"":210,""timestamp"":1788108807.087}"
70.852556,220.000000,220,1788108807.291734,326134.423777,100969.309258,1787782672.867957,1788108807.290000,-1.733541,True,"{""marker"":220,""timestamp"":1788108807.29}"
70.853039,210.000000,210,1788108807.292216,326134.424258,100969.309738,1787782672.867958,1788108807.291000,-1.216173,True,"{""marker"":210,""timestamp"":1788108807.291}"
71.121527,220.000000,220,1788108807.560704,326134.692748,100969.578229,1787782672.867956,1788108807.559000,-1.703978,True,"{""marker"":220,""timestamp"":1788108807.559}"
71.121925,210.000000,210,1788108807.561102,326134.693143,100969.578623,1787782672.867959,1788108807.560000,-1.101971,True,"{""marker"":210,""timestamp"":1788108807.56}"
71.421397,220.000000,220,1788108807.860574,326134.992617,100969.878098,1787782672.867958,1788108807.859000,-1.574278,True,"{""marker"":220,""timestamp"":1788108807.859}"
71.652991,400.000000,400,1788108808.092168,326135.224210,100970.109693,1787782672.867958,1788108808.090000,-2.167702,True,"{""marker"":400,""timestamp"":1788108808.09}"
71.653598,410.000000,410,1788108808.092775,326135.224815,100970.110294,1787782672.867960,1788108808.091000,-1.775265,True,"{""marker"":410,""timestamp"":1788108808.091}"
71.653737,420.000000,420,1788108808.092914,326135.224953,100970.110432,1787782672.867961,1788108808.091000,-1.914024,True,"{""marker"":420,""timestamp"":1788108808.091}"
72.312829,430.000000,430,1788108808.752007,326135.884045,100970.769527,1787782672.867961,1788108808.750000,-2.006531,True,"{""marker"":430,""timestamp"":1788108808.75}"
72.876679,450.000000,450,1788108809.315856,326136.447893,100971.333374,1787782672.867963,1788108809.315000,-0.855923,True,"{""marker"":450,""timestamp"":1788108809.315}"
73.168443,440.000000,440,1788108809.607620,326136.739659,100971.625142,1787782672.867961,1788108809.606000,-1.620531,True,"{""marker"":440,""timestamp"":1788108809.606}"
73.169005,410.000000,410,1788108809.608182,326136.740218,100971.625698,1787782672.867964,1788108809.607000,-1.182318,True,"{""marker"":410,""timestamp"":1788108809.607}"
73.169140,420.000000,420,1788108809.608317,326136.740353,100971.625832,1787782672.867964,1788108809.607000,-1.316786,True,"{""marker"":420,""timestamp"":1788108809.607}"
73.544363,430.000000,430,1788108809.983540,326137.115580,100972.001065,1787782672.867959,1788108809.982000,-1.539469,True,"{""marker"":430,""timestamp"":1788108809.982}"
73.990813,450.000000,450,1788108810.429990,326137.562026,100972.447508,1787782672.867964,1788108810.428000,-1.990318,True,"{""marker"":450,""timestamp"":1788108810.428}"
74.270967,440.000000,440,1788108810.710145,326137.842183,100972.727668,1787782672.867962,1788108810.708000,-2.144575,True,"{""marker"":440,""timestamp"":1788108810.708}"
74.271563,410.000000,410,1788108810.710740,326137.842774,100972.728255,1787782672.867966,1788108810.709000,-1.739502,True,"{""marker"":410,""timestamp"":1788108810.709}"
74.271802,420.000000,420,1788108810.710979,326137.843013,100972.728492,1787782672.867967,1788108810.709000,-1.979351,True,"{""marker"":420,""timestamp"":1788108810.709}"
74.585874,430.000000,430,1788108811.025051,326138.157086,100973.042568,1787782672.867965,1788108811.023000,-2.050638,True,"{""marker"":430,""timestamp"":1788108811.023}"
74.979662,450.000000,450,1788108811.418839,326138.550872,100973.436353,1787782672.867967,1788108811.417000,-1.838923,True,"{""marker"":450,""timestamp"":1788108811.417}"
75.308821,440.000000,440,1788108811.747998,326138.880031,100973.765515,1787782672.867967,1788108811.746000,-1.998425,True,"{""marker"":440,""timestamp"":1788108811.746}"
75.309278,411.000000,411,1788108811.748455,326138.880485,100973.765965,1787782672.867969,1788108811.746000,-2.454519,True,"{""marker"":411,""timestamp"":1788108811.746}"
75.309422,420.000000,420,1788108811.748599,326138.880630,100973.766109,1787782672.867969,1788108811.746000,-2.599001,True,"{""marker"":420,""timestamp"":1788108811.746}"
75.589823,431.000000,431,1788108812.029000,326139.161031,100974.046513,1787782672.867968,1788108812.027000,-1.999617,True,"{""marker"":431,""timestamp"":1788108812.027}"
